ZipCode,City,State,Latitude,Longitude,Classification,Population
"37312","CLEVELAND","TN","35.2269","-84.8733","","30962"
"37313","COALMONT","TN","35.4114","-85.6499","","1731"
"37314","COKER CREEK","TN","35.2658","-84.2859","P","0"
"37315","COLLEGEDALE","TN","35.0534","-85.0503","P","1556"
"37316","CONASAUGA","TN","35.0009","-84.7206","P","0"
"37317","COPPERHILL","TN","35.0536","-84.4463","","2403"
"37318","COWAN","TN","35.1819","-85.9955","","1978"
"37320","CLEVELAND","TN","35.1594","-84.8767","P","0"
"37321","DAYTON","TN","35.5059","-85.0397","","19113"
"37322","DECATUR","TN","35.4986","-84.8259","","8239"
"37323","CLEVELAND","TN","35.0999","-84.8229","","30439"
"37324","DECHERD","TN","35.2525","-85.9771","","5322"
"37325","DELANO","TN","35.2446","-84.6029","","1845"
"37326","DUCKTOWN","TN","35.0276","-84.3745","P","467"
"37327","DUNLAP","TN","35.4047","-85.4153","","11174"
"37328","ELORA","TN","35.0339","-86.3750","","1364"
"37329","ENGLEWOOD","TN","35.4026","-84.4601","","5588"
"37330","ESTILL SPRINGS","TN","35.2944","-86.1184","","6784"
"37331","ETOWAH","TN","35.3315","-84.5299","","7656"
"37332","EVENSVILLE","TN","35.5920","-84.9335","","2609"
"37333","FARNER","TN","35.1428","-84.3258","","534"
"37334","FAYETTEVILLE","TN","35.1768","-86.5991","","21700"
"37335","FLINTVILLE","TN","35.0686","-86.4162","","2778"
"37336","GEORGETOWN","TN","35.2992","-84.9334","","4202"
"37337","GRANDVIEW","TN","35.7822","-84.8826","","1470"
"37338","GRAYSVILLE","TN","35.4362","-85.1820","","3093"
"37339","GRUETLI LAAGER","TN","35.3678","-85.7101","","2018"
"37340","GUILD","TN","35.0288","-85.5179","","607"
"37341","HARRISON","TN","35.2152","-85.0863","","12085"
"37342","HILLSBORO","TN","35.3913","-85.9508","","3593"
"37343","HIXSON","TN","35.1706","-85.2045","","40042"
"37345","HUNTLAND","TN","35.0526","-86.2324","","2311"
